putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C20:1	292.28	454.39005	0.0006162106762680493	854
CAR C20:1;O	308.27	470.38599	0.0005739966872737468	707
CAR C20:1;O2	324.265	486.37799	0.0005448437225842655	44
CAR C20:1;O3	340.26	502.37427	0.0005175424290738275	2
CAR C20:2	290.265	452.37643	0.0005857952425996219	2366
CAR C20:2;O	306.255	468.368835	0.0005444426833471757	519
CAR C20:2;O2	322.25	484.36304	0.0005161417766310162	117
CAR C20:2;O3	338.245	500.357205	0.0004896501603534702	7
CAR C20:3	288.245	450.35762	0.0005440121018675547	2997
CAR C20:3;O	304.24	466.35339	0.0005146311898794369	525
CAR C20:3;O2	320.24	482.34818	0.0004975658869491518	15
CAR C20:4	286.235	448.345935	0.0005241487347813413	9653
CAR C20:4;O	302.225	464.33736	0.00048456147815336326	483
CAR C20:4;O2	318.22	480.33078	0.00045801770188457896	69
CAR C20:5	284.21500000000003	446.32696999999996	0.00048170961638927564	2464
CAR C20:5;O	300.21	462.31979	0.00045423104211043947	73
CAR C20:5;O2	316.2	478.31653	0.0004181331554650403	7
CAR C20:6	282.2	444.3103	0.00045013586225660005	2
CAR C20:6;O2	314.19	476.3002	0.0003989080835993722	98
CAR C21:0	308.31	470.42105	0.0006589841164633307	254
CAR C21:1	306.29	468.40146	0.0006191270198005371	111
CAR C21:2	304.28	466.38937	0.0006003567362608902	37
CAR C21:2;O4	368.26	530.36908	0.0004902246563845518	8
CAR C21:3	302.26	464.37421	0.0005598932808951447	6
CAR C21:4;O2	332.235	494.347735	0.0004753738660951346	3286
CAR C21:5	298.23	460.34225	0.0004996282657088681	3
CAR C21:5;O2	330.22	492.33276	0.0004468522468422115	86
CAR C22:0	322.325	484.437345	0.0006708813854178583	747
CAR C22:1	320.31	482.42056	0.0006425928447162415	714
CAR C22:1;O	336.3	498.41336	0.0006019100290570288	23
CAR C22:2	318.29	480.40454	0.0006036579088116455	391
CAR C22:2;O	334.29	496.39914	0.000584207297377712	9
CAR C22:3	316.28	478.38895	0.0005852978000431923	112
CAR C22:3;O	332.27	494.383	0.0005461352837779249	54
CAR C22:4	314.26	476.37372	0.0005457899734687105	544
CAR C22:4;O	330.26	492.36914	0.0005280590899746294	107
CAR C22:4;O2	346.25	508.36435	0.0004917732724570477	128
CAR C22:5	312.245	474.35742500000003	0.0005164881686711898	617
CAR C22:5;O	328.245	490.35577	0.0004996371724925494	677
CAR C22:5;O2	344.24	506.34784	0.00047398247023233887	38
CAR C22:6	310.23	472.34225	0.00048693505609548625	1029
CAR C22:6;O	326.22	488.33728	0.0004505083044244078	75
CAR C23:0	336.34	498.45142	0.000682112611897013	214
CAR C23:1	334.32	496.42813	0.0006446048897349818	71
CAR C23:3	330.29	492.40442	0.0005889467848400314	8
CAR C23:4	328.28	490.38861	0.0005709757410555941	4
CAR C23:4;O2	360.27	522.3786	0.0005168665025710889	274
CAR C23:5;O2	358.25	520.36481	0.0004804321798778053	30
CAR C24:0	350.355	512.466465	0.0006927282264542307	372
CAR C24:1	348.34	510.45163	0.0006660768229890361	516
CAR C24:2	346.32	508.43527	0.0006293819860293979	24
CAR C24:4	342.29	504.40359	0.0005749364313604914	120
CAR C24:5	340.28	502.38892	0.0005573371323554921	57
CAR C24:6	338.26	500.37363	0.0005196117149498684	20
CAR C25:4;O2	388.3	550.41211	0.0005450461473313357	101
CAR C26:0	378.39	540.49847	0.0007215561590766138	1095
CAR C26:1	376.375	538.48569	0.0006963972944758171	598
CAR C28:1;O2	436.39	598.50354	0.0006516252184573316	23
CAR C29:1;O2	450.41	612.51892	0.0006693670784896327	76
CAR C29:2;O2	448.39	610.50372	0.0006388167462763148	32
CAR C2:0	42.01	204.12646	4.898923931761718e-05	82183
CAR C2:0;O	58.01	220.1181	4.543015771986952e-05	15
CAR C31:1;O2	478.44	640.55005	0.0006869096333690048	128
CAR C31:2;O2	476.42	638.53357	0.000657757116826318	124
CAR C32:1;O2	492.455	654.56723	0.0006951157526542223	10
CAR C32:2;O2	490.44	652.55011	0.0006742777194536028	4
CAR C3:0	56.025000000000006	218.137305	0.00011460661490522535	44354
CAR C3:0;O	72.02	234.13329	8.542142811044094e-05	11
CAR C4:0	70.045	232.153755	0.0001938367050032694	76781
CAR C4:0;O	86.035	248.14808	0.0001410447222907661	14249
CAR C4:0;O2	102.03	264.14435	0.00011357426346617347	112
CAR C4:1	68.025	230.13785000000001	0.0001086304436823514	2501
CAR C4:1;O	84.02	246.13394	8.125657111731938e-05	245
CAR C4:1;O2	100.015	262.12672499999996	5.722410010760748e-05	4884
CAR C5:0	84.06	246.1691	0.00024373489605316944	50905
CAR C5:0;O	100.05	262.16534	0.0001907193376515643	13938
CAR C5:1	82.04	244.15425	0.0001638308569275622	9753
CAR C5:1;O	98.04	260.14999	0.00015375745353673185	899
CAR C5:1;O2	114.035	276.14407	0.0001267451678220635	13264
CAR C6:0	98.07499999999999	260.187345	0.0002882536388803858	27752
CAR C6:0;O	114.07	276.18033	0.0002534575869323973	9926
CAR C6:0;O2	130.06	292.17462	0.00020535664596740906	1071
CAR C6:1	96.06	258.16995	0.00023240504946451854	5211
CAR C6:1;O	112.055	274.165005	0.00020060878572442193	1577
CAR C6:1;O2	128.05	290.16122	0.00017231799618161022	20140
CAR C6:1;O3	144.04500000000002	306.157255	0.00014698314163326406	506
CAR C6:2	94.04	256.14999	0.00015615850697478558	19
